month_offset,day,account_ref,description,amount,category,movement_type,spending_context,counterparty_account_ref,reference,forecast_baseline_eligible
-3,1,account-fictional-current,DD BRITISH GAS,-148.00,Utilities,expense,routine,,,false
-3,2,account-fictional-current,DD HOME INSURE,-42.00,Insurance,expense,routine,,,false
-3,3,account-fictional-current,TESCO STORES 3412,-92.40,Groceries,expense,routine,,,false
-3,4,account-fictional-current,DD PUREGYM,-24.99,Subscriptions,expense,routine,,,false
-3,5,account-fictional-current,NETFLIX.COM,-12.99,Subscriptions,expense,routine,,,false
-3,5,account-fictional-current,CLOUDY DIGITAL,-4.99,Subscriptions,expense,routine,,,false
-3,6,account-fictional-current,TESCO PFS 4632,-42.00,Fuel,expense,routine,,,false
-3,7,account-fictional-current,SCHOOL MEALS ONLINE,-38.50,School and children,expense,routine,,,false
-3,8,account-fictional-current,ASDA SUPERSTORE 4721,-18.60,Groceries,expense,routine,,,false
-3,10,account-fictional-current,TESCO STORES 3412,-96.10,Groceries,expense,routine,,,false
-3,11,account-fictional-current,BUS MOBILE TICKETS,-18.00,Public transport,expense,routine,,,false
-3,12,account-fictional-current,COFFEE HOUSE,-6.40,Coffee,expense,routine,,,false
-3,13,account-fictional-current,SHELL SERVICE STN,-44.00,Fuel,expense,routine,,,false
-3,14,account-fictional-current,AMZNMktplace,-26.70,Household essentials,expense,routine,,,false
-3,16,account-fictional-current,TESCO STORES 3412,-88.30,Groceries,expense,routine,,,false
-3,17,account-fictional-current,SCHOOL CLUB PAYMENT,-32.00,School and children,expense,routine,,,false
-3,18,account-fictional-current,ASDA SUPERSTORE 4721,-14.80,Groceries,expense,routine,,,false
-3,19,account-fictional-current,LOCAL GARAGE REPAIR,-280.00,Unexpected costs,expense,one_off_unavoidable,,,false
-3,20,account-fictional-current,TESCO PFS 4632,-45.00,Fuel,expense,routine,,,false
-3,22,account-fictional-current,TESCO STORES 3412,-90.60,Groceries,expense,routine,,,false
-3,23,account-fictional-current,KIDS SHOE SHOP,-46.00,Children clothing,expense,one_off_unavoidable,,,false
-3,24,account-fictional-current,JUST EAT,-31.20,Eating out,expense,routine,,,false
-3,25,account-fictional-current,ACME EMPLOYER PAY,3150.00,Income,income,routine,,,false
-3,26,account-fictional-current,ORBIT CARD PAYMENT,-145.00,Debt payment,debt_payment,routine,,,false
-3,26,account-fictional-current,HARBOUR LOAN PAYMENT,-220.00,Debt payment,debt_payment,routine,,,false
-3,26,account-fictional-current,MAPLE FINANCE PAYMENT,-48.00,Debt payment,debt_payment,routine,,,false
-3,27,account-fictional-current,TESCO STORES 3412,-84.20,Groceries,expense,routine,,,false
-3,28,account-fictional-current,JUST EAT,-26.80,Eating out,expense,routine,,,false
-3,28,account-fictional-current,CINEMA ONLINE,-34.00,Leisure,expense,routine,,,false
-3,29,account-fictional-current,TRANSFER TO SPENDING,-320.00,Transfers,internal_transfer,routine,account-fictional-spending,APR-SPEND,false
-3,29,account-fictional-spending,TRANSFER FROM CURRENT,320.00,Transfers,internal_transfer,routine,account-fictional-current,APR-SPEND,false
-3,30,account-fictional-current,PLUM FINTECH,-75.00,Savings,savings_transfer,routine,account-fictional-savings,APR-SAVE,false
